student_id,test_name,test_code,first_score,2,last_score,n_attempt,n_attempt_pass,ever_pass,state_passing_score,first_test_date,last_test_date
178341,0021 Education of Young Children,21,192,NA,192,1,1,1,169,2012-04-28T00:00:00Z,2012-04-28
185143,0921 Geography,921,192,NA,192,1,1,1,153,2012-04-28T00:00:00Z,2012-04-28
67593,0021 Education of Young Children,21,194,NA,194,1,1,1,169,2012-04-28T00:00:00Z,2012-04-28
73057,0041 English LLC: Content Knowledge,41,195,NA,195,1,1,1,158,2012-04-28T00:00:00Z,2012-04-28
211317,0014 Elem Ed: Content Knowledge,14,196,NA,196,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
26809,0041 English LLC: Content Knowledge,41,197,NA,197,1,1,1,158,2012-04-28T00:00:00Z,2012-04-28
42475,0041 English LLC: Content Knowledge,41,197,NA,197,1,1,1,158,2012-04-28T00:00:00Z,2012-04-28
15870,0041 English LLC: Content Knowledge,41,198,NA,198,1,1,1,158,2012-04-28T00:00:00Z,2012-04-28
235969,0014 Elem Ed: Content Knowledge,14,198,NA,198,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
181585,0640 Theatre,640,410,NA,410,1,0,0,540,2012-04-28T00:00:00Z,2012-04-28
198335,0690 Special Ed: Preschool/Early Childhood,690,560,NA,560,1,1,1,550,2012-04-28T00:00:00Z,2012-04-28
100437,0690 Special Ed: Preschool/Early Childhood,690,580,NA,580,1,1,1,550,2012-04-28T00:00:00Z,2012-04-28
122983,0640 Theatre,640,590,NA,590,1,1,1,540,2012-04-28T00:00:00Z,2012-04-28
217933,0690 Special Ed: Preschool/Early Childhood,690,590,NA,590,1,1,1,550,2012-04-28T00:00:00Z,2012-04-28
235362,0690 Special Ed: Preschool/Early Childhood,690,590,NA,590,1,1,1,550,2012-04-28T00:00:00Z,2012-04-28
178341,0690 Special Ed: Preschool/Early Childhood,690,620,NA,620,1,1,1,550,2012-04-28T00:00:00Z,2012-04-28
210857,0690 Special Ed: Preschool/Early Childhood,690,630,NA,630,1,1,1,550,2012-04-28T00:00:00Z,2012-04-28
64108,0690 Special Ed: Preschool/Early Childhood,690,640,NA,640,1,1,1,550,2012-04-28T00:00:00Z,2012-04-28
70611,0690 Special Ed: Preschool/Early Childhood,690,650,NA,650,1,1,1,550,2012-04-28T00:00:00Z,2012-04-28
217489,0690 Special Ed: Preschool/Early Childhood,690,650,NA,650,1,1,1,550,2012-04-28T00:00:00Z,2012-04-28
39284,0640 Theatre,640,670,NA,670,1,1,1,540,2012-04-28T00:00:00Z,2012-04-28
86774,0640 Theatre,640,670,NA,670,1,1,1,540,2012-04-28T00:00:00Z,2012-04-28
94771,0690 Special Ed: Preschool/Early Childhood,690,670,NA,670,1,1,1,550,2012-04-28T00:00:00Z,2012-04-28
194174,0640 Theatre,640,680,NA,680,1,1,1,540,2012-04-28T00:00:00Z,2012-04-28
202655,0640 Theatre,640,680,NA,680,1,1,1,540,2012-04-28T00:00:00Z,2012-04-28
181044,0640 Theatre,640,690,NA,690,1,1,1,540,2012-04-28T00:00:00Z,2012-04-28
73057,0640 Theatre,640,710,NA,710,1,1,1,540,2012-04-28T00:00:00Z,2012-04-28
130501,0550 Health Education,550,730,NA,730,1,1,1,630,2012-04-28T00:00:00Z,2012-04-28
25558,0640 Theatre,640,750,NA,750,1,1,1,540,2012-04-28T00:00:00Z,2012-04-28
35833,0640 Theatre,640,750,NA,750,1,1,1,540,2012-04-28T00:00:00Z,2012-04-28
123282,0550 Health Education,550,750,NA,750,1,1,1,630,2012-04-28T00:00:00Z,2012-04-28
15870,0640 Theatre,640,780,NA,780,1,1,1,540,2012-04-28T00:00:00Z,2012-04-28
133827,5014 Elem Ed: Content Knowledge,5014,154,NA,154,1,1,1,143,2012-06-05T00:00:00Z,2012-06-05
183241,0361 English to Speakers of Other Languages,361,114,NA,114,1,0,0,151,2012-06-09T00:00:00Z,2012-06-09
60274,0061 Mathematics: Content Knowledge,61,124,130,130,2,1,1,129,2012-04-28T00:00:00Z,2012-06-09
56608,0941 World and US History: Content Knowledge,941,133,NA,133,1,0,0,141,2012-06-09T00:00:00Z,2012-06-09
56608,0081 Social Studies: Content Knowledge,81,135,NA,135,1,0,0,150,2012-06-09T00:00:00Z,2012-06-09
65840,0941 World and US History: Content Knowledge,941,141,NA,141,1,1,1,141,2012-06-09T00:00:00Z,2012-06-09
210519,0235 Biology: Content Knowledge,235,143,NA,143,1,1,1,139,2012-06-09T00:00:00Z,2012-06-09
213552,0941 World and US History: Content Knowledge,941,140,145,145,2,1,1,141,2012-04-28T00:00:00Z,2012-06-09
133333,0061 Mathematics: Content Knowledge,61,146,NA,146,1,1,1,129,2012-06-09T00:00:00Z,2012-06-09
53022,0014 Elem Ed: Content Knowledge,14,149,NA,149,1,1,1,143,2012-06-09T00:00:00Z,2012-06-09
174562,0941 World and US History: Content Knowledge,941,149,NA,149,1,1,1,141,2012-06-09T00:00:00Z,2012-06-09
69835,0941 World and US History: Content Knowledge,941,131,150,150,2,1,1,141,2012-04-28T00:00:00Z,2012-06-09
131821,0091 Physical Education: Content Knowledge,91,150,NA,150,1,1,1,143,2012-06-09T00:00:00Z,2012-06-09
169065,0113 Music: Content Knowledge,113,150,NA,150,1,1,1,148,2012-06-09T00:00:00Z,2012-06-09
199134,0014 Elem Ed: Content Knowledge,14,150,NA,150,1,1,1,143,2012-06-09T00:00:00Z,2012-06-09
75655,0061 Mathematics: Content Knowledge,61,151,NA,151,1,1,1,129,2012-06-09T00:00:00Z,2012-06-09
173578,0113 Music: Content Knowledge,113,152,NA,152,1,1,1,148,2012-06-09T00:00:00Z,2012-06-09
237632,0091 Physical Education: Content Knowledge,91,153,NA,153,1,1,1,143,2012-06-09T00:00:00Z,2012-06-09
75359,0014 Elem Ed: Content Knowledge,14,138,154,154,2,1,1,143,2012-04-28T00:00:00Z,2012-06-09
132594,0941 World and US History: Content Knowledge,941,154,NA,154,1,1,1,141,2012-06-09T00:00:00Z,2012-06-09
153249,0014 Elem Ed: Content Knowledge,14,156,NA,156,1,1,1,143,2012-06-09T00:00:00Z,2012-06-09
157757,0235 Biology: Content Knowledge,235,157,NA,157,1,1,1,139,2012-06-09T00:00:00Z,2012-06-09
165366,0014 Elem Ed: Content Knowledge,14,158,NA,158,1,1,1,143,2012-06-09T00:00:00Z,2012-06-09
197695,0439 Middle School Science,439,158,NA,158,1,1,1,143,2012-06-09T00:00:00Z,2012-06-09
